pack,id,domains,phase,service,title,url,status,raw_path,md_path,fetched_at
01-fases-curadas,EXAM-01,EXAM,0,AWS Certification,AWS Certified Solutions Architect - Associate (página oficial del examen),https://aws.amazon.com/certification/certified-solutions-architect-associate/,ok,bronze/01-fases-curadas/raw/0-exam-y-recursos-oficiales/EXAM-01.html,bronze/01-fases-curadas/markdown/0-exam-y-recursos-oficiales/EXAM-01.md,previo
01-fases-curadas,EXAM-02,EXAM,0,AWS Certification,Exam Guide oficial SAA-C03 (HTML en AWS Docs),https://docs.aws.amazon.com/aws-certification/latest/solutions-architect-associate-03/solutions-architect-associate-03.html,ok,bronze/01-fases-curadas/raw/0-exam-y-recursos-oficiales/EXAM-02.html,bronze/01-fases-curadas/markdown/0-exam-y-recursos-oficiales/EXAM-02.md,previo
01-fases-curadas,EXAM-03,EXAM,0,AWS Certification,Exam Guide oficial SAA-C03 (PDF),https://d1.awsstatic.com/training-and-certification/docs-sa-assoc/AWS-Certified-Solutions-Architect-Associate_Exam-Guide_C03.pdf,ok,bronze/01-fases-curadas/raw/0-exam-y-recursos-oficiales/EXAM-03.pdf,bronze/01-fases-curadas/markdown/0-exam-y-recursos-oficiales/EXAM-03.md,2026-09-11T03:35:01
01-fases-curadas,EXAM-04,EXAM,0,AWS Skill Builder,Categoría Exam Prep SAA-C03 en AWS Skill Builder,https://skillbuilder.aws/category/exam-prep/solutions-architect-associate-SAA-C03,ok,bronze/01-fases-curadas/raw/0-exam-y-recursos-oficiales/EXAM-04.html,bronze/01-fases-curadas/markdown/0-exam-y-recursos-oficiales/EXAM-04.md,previo
01-fases-curadas,EXAM-05,EXAM,0,AWS Skill Builder,Exam Prep Plan: AWS Certified Solutions Architect - Associate (SAA-C03),https://skillbuilder.aws/learning-plan/UYRXS2DF85/exam-prep-plan-aws-certified-solutions-architect--associate-saac03--english/U991QUF9C3,ok,bronze/01-fases-curadas/raw/0-exam-y-recursos-oficiales/EXAM-05.html,bronze/01-fases-curadas/markdown/0-exam-y-recursos-oficiales/EXAM-05.md,previo
01-fases-curadas,EXAM-06,EXAM,0,AWS Whitepapers,AWS Whitepapers & Guides (centro oficial),https://aws.amazon.com/whitepapers/,ok,bronze/01-fases-curadas/raw/0-exam-y-recursos-oficiales/EXAM-06.html,bronze/01-fases-curadas/markdown/0-exam-y-recursos-oficiales/EXAM-06.md,previo
01-fases-curadas,FND-01,"D1,D2,D3",1,AWS Overview,AWS Overview whitepaper - Introduction,https://docs.aws.amazon.com/whitepapers/latest/aws-overview/introduction.html,ok,bronze/01-fases-curadas/raw/1-fundamentos-y-well-architected/FND-01.html,bronze/01-fases-curadas/markdown/1-fundamentos-y-well-architected/FND-01.md,previo
01-fases-curadas,FND-02,"D1,D2",1,AWS Overview,"AWS Overview - AWS global infrastructure (Regions, AZs, edge)",https://docs.aws.amazon.com/whitepapers/latest/aws-overview/aws-global-infrastructure.html,ok,bronze/01-fases-curadas/raw/1-fundamentos-y-well-architected/FND-02.html,bronze/01-fases-curadas/markdown/1-fundamentos-y-well-architected/FND-02.md,previo
01-fases-curadas,FND-03,"D1,D2,D3,D4",1,Well-Architected,AWS Well-Architected Framework - Welcome,https://docs.aws.amazon.com/wellarchitected/latest/framework/welcome.html,ok,bronze/01-fases-curadas/raw/1-fundamentos-y-well-architected/FND-03.html,bronze/01-fases-curadas/markdown/1-fundamentos-y-well-architected/FND-03.md,2026-09-11T03:20:21
01-fases-curadas,FND-04,"D1,D2,D3,D4",1,Well-Architected,Well-Architected Framework - The six pillars,https://docs.aws.amazon.com/wellarchitected/latest/framework/pillars.html,ok,bronze/01-fases-curadas/raw/1-fundamentos-y-well-architected/FND-04.html,bronze/01-fases-curadas/markdown/1-fundamentos-y-well-architected/FND-04.md,2026-09-11T03:20:29
